"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Successful Login with Valid Credentials","tests","Thu Feb 05 19:29:56 UTC 2026","broken","Thu Feb 05 19:29:56 UTC 2026","TestLogin","login_test","",""
"","7","Fail Login with Invalid Email Format","tests","Thu Feb 05 19:29:56 UTC 2026","broken","Thu Feb 05 19:29:56 UTC 2026","TestLogin","login_test","",""
